Lee_Ngram_freq,Lee_Ngrams
59,my waist
59,the black
58,very stretchy
58,and you
58,all of
58,not fit
58,bought them
58,the second
58,buying these
58,the stretchy
58,with you
58,don have
58,are really
58,fit in
57,fit so
57,length and
57,husband has
57,my go
57,more in
57,that was
57,he likes
57,ve worn
57,move with
57,but that
57,ll be
57,work jeans
57,well as
57,quality jeans
57,find them
57,work in
56,much better
56,when they
56,of this
56,too large
56,are super
56,the zipper
56,will order
56,and just
56,the thigh
56,it fits
56,more pair
56,great pair
56,am very
56,the extreme
56,the perfect
56,and color
56,stretch jeans
55,than other
55,in this
55,the waistband
55,durable and
55,fit right
55,like lee
55,comfortable but
55,the front
55,different color
55,fits as
55,after washing
55,bought two
55,difficult to
55,makes them
54,and don
54,and style
54,jeans will
54,right size
54,what you
54,can get
54,but still
54,ordering more
54,fit better
54,is too
54,pants but
54,on line
53,try them
53,high quality
53,my first
53,and this
53,even though
53,is nice
53,the cut
53,material and
53,jeans because
53,was just
53,husband is
53,is hard
53,to do
53,would like
52,are extremely
52,instead of
52,find jeans
52,ordered pair
52,recommend these
52,not like
52,feels like
52,legs and
52,is so
52,likes the
52,size was
52,for big
52,pairs and
52,great the
52,looks good
52,you will
51,ever bought
51,and comfort
51,like this
51,on him
51,lee is
51,the elastic
51,too loose
51,jeans look
51,than any
51,jeans on
50,comfort and
50,style and
50,jeans just
50,was good
50,pants ve
50,jeans great
50,liked them
50,the exact
50,than my
50,don know
50,in stores
50,wear well
50,because the
50,several pairs
50,recommend them
50,ve bought
49,are nice
49,loved them
49,put them
49,on and
49,than that
49,fits perfectly
49,pair that
49,you want
49,and tall
49,too short
49,in all
49,pockets are
49,and length
49,and size
49,wearing lee
49,to them
49,room in
49,more colors
49,the extra
49,lee extreme
49,as it
48,and really
48,amazon and
48,they hold
48,lots of
48,favorite pair
48,larger than
48,same as
48,at work
48,like regular
48,lee regular
48,and now
48,not baggy
48,definitely buy
48,have ordered
48,me and
48,tight and
48,don like
48,husband he
48,and stretchy
48,light weight
48,for jeans
48,worn lee
48,really comfortable
48,from lee
48,like jeans
47,crotch area
47,find the
47,plenty of
47,got the
47,for sure
47,two more
47,jeans like
47,not be
47,dark blue
47,always been
47,no longer
47,them again
47,stretch material
47,are more
47,wore them
47,fit fine
47,great on
47,to say
47,than what
47,with no
47,my only
47,by far
47,these they
47,by the
47,tried them
47,straight fit
46,fits perfect
46,should be
46,comfortable as
46,many years
46,great value
46,washed them
46,good product
46,has been
46,likes them
46,and like
46,me the
46,what wanted
46,can find
46,the next
46,it seems
45,leg jeans
45,purchased these
45,new favorite
45,it not
45,back pocket
45,size but
45,very satisfied
45,as good
45,was as
45,back pockets
45,jeans was
45,feel of
45,without being
45,and still
45,are bit
45,little tight
45,looks like
45,but have
45,that these
45,look nice
45,weight and
45,were not
45,the money
45,satisfied with
44,so well
44,good but
44,pretty good
44,well they
44,stretchy material
44,not have
44,got these
44,lee jean
44,to look
44,don look
44,should have
44,too much
44,comfortable for
44,to jeans
44,re not
44,as long
44,pair was
44,this jeans
44,this one
44,them as
43,the regular
43,were too
43,all my
43,have them
43,next time
43,this jean
43,supposed to
43,were the
43,colors and
43,fabric and
43,get them
43,right and
43,the jean
43,size in
43,they should
43,the bottom
43,could not
43,them very
43,these to
43,nice to
43,of room
42,range of
42,made and
42,if the
42,these as
42,ordered another
42,guy and
42,are well
42,good looking
42,they last
42,fit they
42,other pair
42,that don
42,jeans good
42,it the
42,for more
42,for some
42,my other
42,the stores
42,style of
42,these have
42,so good
42,to keep
42,they wear
42,great they
42,long as
42,great but
42,fast delivery
42,love it
42,jeans as
42,darker than
42,he was
41,he wears
41,really good
41,my body
41,fits me
41,flexible and
41,denim jeans
41,for long
41,expected but
41,good pair
41,two pair
41,brand and
41,wear and
41,the style
41,waist was
41,the future
41,pair for
41,like wearing
41,other colors
41,much more
41,my second
41,come in
41,trying to
41,were perfect
41,you get
41,up and
41,now they
41,pairs in
41,are amazing
41,so that
41,normally wear
41,new jeans
41,less than
41,lee and
40,the wrong
40,the feel
40,below the
40,me well
40,these on
40,is what
40,exact same
40,my pants
40,really nice
40,and so
40,to replace
40,same jeans
40,to purchase
40,up well
40,fit nice
40,wear out
40,year old
40,that you
40,for these
40,just fine
40,pants in
40,also the
40,have no
40,comfy and
40,and waist
40,that it
40,pants the
40,and looks
40,have not
40,and is
40,jeans you
40,have never
40,lee carpenter
39,they aren
39,the inseam
39,the side
39,type of
39,excellent fit
39,find in
39,ve purchased
39,an inch
39,them back
39,feel good
39,this time
39,like me
39,them up
39,my old
39,the pair
39,out and
39,baggy and
39,buy lee
39,athletic fit
39,jean for
39,in any
39,good value
39,length was
39,order again
39,he said
39,to give
39,and stretch
39,motion jeans
39,said they
39,would not
38,are awesome
38,down the
38,every day
38,was too
38,it would
38,never had
38,these again
38,can wear
38,pockets and
38,the sizing
38,is bit
38,size up
38,and would
38,of colors
38,just ordered
38,they ll
38,fit exactly
38,fit nicely
38,were little
38,on them
38,of movement
38,in store
38,new pair
38,as comfortable
38,very disappointed
38,my legs
37,exactly the
37,few more
37,no more
37,the levi
37,my life
37,best pair
37,for many
37,it hard
37,worth the
37,the rear
37,are stretchy
37,that he
37,at my
37,very durable
37,found them
37,like that
37,very much
37,nice pants
37,the dark
37,however the
37,well the
37,had the
37,now and
37,in other
36,34 waist
36,out the
36,little more
36,wearing jeans
36,jeans it
36,men regular
36,and nice
36,move around
36,size that
36,is as
36,may be
36,last pair
36,you like
36,jeans not
36,just enough
36,continue to
36,29 length
36,stretch is
36,ordered two
36,returned them
36,no complaints
36,and ordered
36,feel and
36,loved the
36,the relaxed
36,for casual
36,lee has
35,most jeans
35,it very
35,tend to
35,comfortable the
35,that were
35,product was
35,like my
35,as you
35,good as
35,the button
35,the butt
35,where the
35,in and
35,not buy
35,and then
35,close to
35,that can
35,long and
35,modern series
35,got them
35,lee brand
35,there was
35,jeans wear
35,the description
35,me perfectly
35,few years
35,in waist
35,and fits
35,make them
35,he really
35,the day
35,jean and
35,they came
35,far the
35,tall and
35,at first
35,not what
34,to lee
34,brand of
34,and no
34,pair to
34,bought pairs
34,are always
34,fit at
34,you don
34,in jeans
34,they didn
34,the pocket
34,bought for
34,jeans of
34,sweat pants
34,highly recommended
34,really likes
34,worn them
34,and had
34,and durable
34,we have
34,his size
34,several years
34,enough for
34,might be
34,looking jeans
34,my boyfriend
34,up with
34,product is
34,same style
34,but don
34,just little
34,years of
34,they ve
34,could have
34,last long
33,that would
33,absolutely love
33,fit really
33,think they
33,through amazon
33,the tag
33,more for
33,cut and
33,they still
33,even better
33,to last
33,always fit
33,put on
33,the fact
33,fit not
33,other brand
33,makes it
33,and all
33,that fits
33,just not
33,fits just
33,product and
33,love lee
33,but he
33,but will
33,pants were
33,very soft
33,right now
33,after wearing
33,ve always
33,them all
33,it looks
33,or two
33,great look
33,keep them
33,ve tried
33,about these
33,use them
33,seat and
33,on sale
33,happy to
33,it so
32,leg jean
32,stretch fabric
32,the purchase
32,hope they
32,fact that
32,bigger than
32,because it
32,now on
32,the colors
32,son loves
32,nice quality
32,and get
32,though they
32,as gift
32,side pocket
32,is no
32,came in
32,will never
32,to big
32,but for
32,and price
32,order the
32,could be
32,bought more
32,for all
32,there are
32,tight but
32,stretch waist
32,inch waist
32,really liked
32,color of
32,love this
32,even after
32,jeans can
32,bought this
32,of jean
32,would definitely
32,jeans bought
32,in fact
32,but can
32,black jeans
32,size down
32,ago and
31,very very
31,but in
31,size they
31,he can
31,most of
31,go back
31,so the
31,found the
31,again and
31,and move
31,normal jeans
31,other lee
31,still fit
31,with lee
31,rather than
31,great fitting
31,wanted to
31,lee for
31,be comfortable
31,fit these
31,store and
31,really well
31,best fit
31,right for
31,pair the
31,third pair
31,found these
31,very comfy
31,who is
31,from now
31,time finding
31,the new
31,not jeans
31,hole in
31,and as
31,elastic in
31,about them
31,for men
31,few months
31,cell phone
31,is also
31,them because
31,the slim
31,32 waist
31,into the
31,are still
31,what the
31,room for
31,made of
31,only complaint
31,make sure
31,and has
31,super comfy
31,the top
31,hard time
31,can go
31,can say
31,them at
30,you ll
30,the original
30,they run
30,move in
30,were great
30,as my
30,ordered more
30,re comfortable
30,excellent quality
30,that ve
30,good on
30,when it
30,these will
30,gift for
30,this size
30,not only
30,and more
30,out there
30,have an
30,very flexible
30,needs to
30,as much
30,finally found
30,jeans do
30,the blue
30,it will
30,are also
30,jeans if
30,before and
30,for you
30,be able
30,bought in
30,belt loop
30,extra room
30,were way
30,other pants
30,pair they
30,and thigh
30,they just
29,better fit
29,elastic waist
29,see if
29,of motion
29,nice looking
29,than levi
29,buying lee
29,pants very
29,years they
29,the old
29,wear jeans
29,my lee
29,in black
29,you need
29,jeans would
29,they arrived
29,now have
29,since they
29,me they
29,but was
29,the tags
29,the rest
29,after the
29,little too
29,not even
29,material was
29,baggy in
29,smaller size
29,them out
29,and were
29,denim is
29,for an
29,me but
29,best pants
29,can move
29,expected the
29,not really
29,to tight
29,jeans before
29,jeans again
29,plan to
29,the years
29,the correct
29,great to
29,seems like
29,poor quality
29,have found
29,will fit
29,so ordered
28,36 waist
28,off the
28,been my
28,you would
28,the hips
28,with me
28,far as
28,2nd pair
28,size for
28,when he
28,the flex
28,they also
28,brands and
28,them he
28,shorter than
28,of all
28,and got
28,you wear
28,it fit
28,years now
28,was little
28,the spandex
28,is more
28,all around
28,size ordered
28,time they
28,you could
28,before they
28,is fine
28,are fine
28,lee dungarees
28,down to
28,had them
28,jean is
28,are all
28,good the
28,the dryer
28,are way
28,well but
28,not so
28,the one
28,recommend to
28,jeans since
28,is an
28,bought another
28,or the
28,then the
28,bit tight
28,little loose
28,and when
28,is right
28,have pair
28,cotton and
28,these things
28,finding jeans
28,all over
27,was so
27,and one
27,than regular
27,ordered size
27,in every
27,buena calidad
27,reasonable price
27,they come
27,bought several
27,find these
27,sizing is
27,the waste
27,but are
27,for them
27,the package
27,after few
27,get these
27,definitely recommend
27,for good
27,are pretty
27,arrived on
27,de la
27,is different
27,for few
27,day and
27,to take
27,so bought
27,around my
27,jeans which
27,are much
27,wear the
27,every time
27,good in
27,and material
27,tapered leg
27,men jeans
27,definitely be
27,or so
27,problem is
27,size the
27,me better
27,loose in
27,love em
27,three pairs
27,couple more
27,had pair
27,pair bought
27,jeans this
27,and lee
27,jean material
27,this purchase
27,to other
27,his jeans
27,fan of
27,quality control
27,have pairs
27,the return
27,as far
27,crotch and
27,ve ordered
27,fast shipping
27,see how
27,with it
27,cut is
27,had been
27,great work
27,little stretch
27,they always
27,pair have
27,jeans online
27,for comfort
27,wear belt
27,but if
27,buy the
27,don fit
26,than normal
26,than most
26,it like
26,to anyone
26,was my
26,the house
26,long but
26,great color
26,if it
26,was bit
26,in size
26,know how
26,is awesome
26,fit with
26,the weight
26,tried these
26,there were
26,them from
26,them fit
26,front pockets
26,waist the
26,recommend this
26,of his
26,husband who
26,at great
26,and flexible
26,never buy
26,only problem
26,jean that
26,and at
26,several times
26,thought they
26,nice color
26,over time
26,to pay
26,sure if
26,are by
26,and thighs
26,you buy
26,months of
26,so he
26,order them
26,husband likes
26,that my
26,feels great
26,purchase again
26,ordered second
26,color the
26,time the
26,husband wears
26,the loose
26,will continue
25,was expecting
25,if your
25,waist fit
25,ve owned
25,it to
25,couldn find
25,to amazon
25,now the
25,same time
25,for someone
25,the stitching
25,will have
25,order another
25,no problems
25,be good
25,good color
25,wear they
25,comfortable in
25,don think
25,is always
25,is comfortable
25,comfortable great
25,the big
25,times and
25,and found
25,that had
25,be little
25,very hard
25,in that
25,ve never
25,great in
25,probably the
25,since the
25,second time
25,you know
25,nicely and
25,problem with
25,the flexibility
25,but very
25,and last
25,some reason
25,for christmas
25,and do
25,but when
25,work they
25,know what
25,thinner than
25,are durable
25,good pants
25,them comfortable
25,or too
25,ordered them
25,worn the
25,for this
25,and we
25,had these
25,purchased for
25,bit more
25,these the
25,these jean
25,stretchy jeans
25,stretch so
25,cut jeans
25,quality product
25,what they
25,purchased pair
25,pretty much
25,out to
25,as if
25,have tried
25,leg and
25,were more
25,and bought
25,is to
25,appear to
25,wash them
25,and after
24,correct size
24,the seams
24,and ve
24,long enough
24,comfortable with
24,husband will
24,loose and
24,don feel
24,to stretch
24,the pant
24,worn in
24,according to
24,available in
24,size as
24,pants he
24,nice but
24,will probably
24,right amount
24,how comfortable
24,is amazing
24,look of
24,are now
24,in length
24,the others
24,on this
24,time will
24,the straight
24,have several
24,not tight
24,his favorite
24,this review
24,wash and
24,has worn
24,wrong size
24,but with
24,be my
24,and comfy
24,over all
24,find that
24,and well
24,has always
24,the reason
24,has ever
