Dickies_Ngram_freq,Dickies_Ngrams
22,tighter than
22,pair in
22,and durability
21,and just
21,and last
21,easy to
21,over the
21,recommend them
21,jeans fit
21,back to
21,my boyfriend
21,through the
21,fit little
21,wish they
21,them with
21,pants ve
21,than other
21,and feel
21,wears them
21,is my
21,pants he
21,durable work
21,for him
21,last longer
21,bought pair
21,just fine
21,he wears
21,like to
21,about the
21,work for
21,and don
21,go to
21,not to
21,good value
21,to see
21,been buying
21,fit him
21,with my
21,pockets and
21,as my
21,an inch
21,like it
21,than that
21,these have
21,dickies for
21,working in
21,as long
20,used for
20,my other
20,leg pocket
20,would not
20,size but
20,up great
20,really well
20,he was
20,will definitely
20,has been
20,were the
20,the next
20,and my
20,the job
20,in this
20,but he
20,wore them
20,well for
20,the store
20,little small
20,36 waist
20,got the
20,what wanted
20,pants these
20,as advertised
20,and love
20,be the
20,sturdy and
20,they still
19,works in
19,these on
19,look like
19,this was
19,other colors
19,type of
19,out the
19,have ordered
19,other pair
19,great jeans
19,knees and
19,me and
19,at first
19,well as
19,the most
19,pair was
19,dickies work
19,for about
19,hard on
19,the product
19,the bottom
19,jeans have
19,you get
19,work or
19,phone pocket
19,pants with
19,pants is
19,all day
19,was too
19,don know
19,my pants
19,quality of
19,lots of
19,bit small
19,run little
19,jeans in
19,dickies and
19,good but
18,ordered size
18,smaller in
18,new pair
18,the thigh
18,fit for
18,at walmart
18,try them
18,are well
18,that was
18,liked them
18,at great
18,stiff as
18,well they
18,gift for
18,think they
18,to keep
18,nice fit
18,to replace
18,the second
18,so ordered
18,now and
18,instead of
18,is what
18,complaint is
18,likes them
18,other jeans
18,pair is
18,use the
18,the pair
18,in all
18,up in
18,quality for
18,break in
18,little bit
18,dickies carpenter
18,last pair
18,he really
18,two sizes
18,quality control
18,ll be
18,have held
18,my first
18,size bigger
18,husband wears
18,wash and
18,little long
18,they come
18,size smaller
18,pocket for
17,enough for
17,carpenter and
17,and am
17,in construction
17,loose fit
17,and got
17,that have
17,the pant
17,bought two
17,close to
17,right leg
17,than my
17,wears these
17,into the
17,also the
17,was great
17,is just
17,perfect and
17,bought the
17,don like
17,this pants
17,worth the
17,years of
17,and fits
17,value for
17,some reason
17,look nice
17,had them
17,the stitching
17,because the
17,are heavy
17,perfectly and
17,my old
17,to send
17,got these
17,be ordering
17,bit tight
17,worn out
17,to big
17,jeans to
17,the return
17,order more
17,he said
17,side pockets
17,for his
17,not even
17,several times
17,says they
17,that these
17,said they
17,should be
17,larger size
17,the new
17,thick material
17,wear the
17,more pairs
17,they also
17,very tough
17,the work
17,is way
17,to use
17,is right
17,right and
17,and well
17,the future
17,durable pants
17,size they
17,more comfortable
16,pant for
16,in waist
16,work but
16,other dickies
16,the back
16,was little
16,tough pants
16,only thing
16,holes in
16,first time
16,really likes
16,well but
16,but if
16,even though
16,like this
16,and length
16,from dickies
16,very small
16,bit stiff
16,expected but
16,this style
16,so it
16,just like
16,very sturdy
16,as heavy
16,32 waist
16,were way
16,plenty of
16,order size
16,the tag
16,pants would
16,of time
16,them the
16,small in
16,the inseam
16,the duck
16,for this
16,last year
16,use for
16,next size
16,black pair
16,wear in
16,work wear
16,the perfect
16,they came
16,and tear
16,there are
16,and this
16,loves the
16,heavy material
16,sizing is
16,my waist
16,came in
16,and there
16,likes the
16,length and
16,like that
15,wrong size
15,not what
15,to move
15,few washes
15,durable material
15,quality but
15,and one
15,size the
15,it seems
15,after the
15,quality material
15,the denim
15,me to
15,they can
15,he loved
15,times and
15,in stores
15,is hard
15,and size
15,they shrink
15,is really
15,on his
15,that would
15,to put
15,we will
15,tight but
15,with this
15,pair for
15,he says
15,all of
15,off the
15,are holding
15,few more
15,supposed to
15,feel good
15,more pair
15,for these
15,and color
15,have them
15,rugged and
15,is bit
15,size for
15,the wrong
15,fits great
15,husband who
15,up the
15,tough work
15,pretty good
15,find the
15,as always
15,can even
15,husband he
15,use these
15,size as
15,ended up
15,well to
15,buying these
15,right size
15,to say
15,would definitely
15,the carhartt
15,the style
15,the summer
15,husband has
15,more in
15,are pretty
15,or two
15,from this
15,tool pocket
15,cheaper than
15,ordering more
15,too baggy
15,great but
15,much more
15,to anyone
15,than normal
15,was bit
15,waist than
15,room for
15,to other
15,they did
15,than most
15,what expected
15,of course
14,the hammer
14,was the
14,liked the
14,you will
14,pants good
14,and thighs
14,the waste
14,he likes
14,most of
14,other pairs
14,on me
14,work he
14,nice work
14,know what
14,but good
14,but will
14,on them
14,more for
14,send them
14,pants so
14,fit exactly
14,for them
14,order the
14,too stiff
14,and tough
14,pair to
14,favorite pants
14,the wash
14,brand of
14,are really
14,have pair
14,to me
14,very strong
14,time to
14,not be
14,this one
14,great deal
14,time the
14,many years
14,husband and
14,with no
14,look and
14,store and
14,continue to
14,returned them
14,out there
14,we have
14,lighter weight
14,of his
14,the two
14,long as
14,my hands
14,10 years
14,are tight
14,any other
14,no complaints
14,comfortable pants
14,is nice
14,in length
14,could not
14,well the
14,be little
14,not buy
14,you need
14,to run
14,will probably
14,will wear
14,long but
14,and nice
14,my new
14,long in
14,they had
14,to them
14,are stiff
14,the relaxed
14,was perfect
14,are super
14,if the
14,legs and
14,fits perfectly
14,duck pants
14,are definitely
14,hands in
14,on and
14,who works
14,arrived on
14,pants just
14,fabric and
14,ve worn
14,that he
14,different color
14,it will
14,they work
14,few weeks
14,and seem
14,nice but
14,from amazon
14,the zipper
14,hole in
14,put my
14,few times
14,crotch area
14,were made
14,fit right
14,for few
14,order again
14,construction work
14,will have
13,work great
13,pants great
13,for sure
13,be perfect
13,they aren
13,year old
13,pants wear
13,definitely buy
13,too large
13,husband likes
13,but are
13,straight leg
13,in mexico
13,the seams
13,on him
13,and bought
13,less than
13,brand and
13,thought they
13,my jeans
13,are sturdy
13,after wearing
13,small so
13,to purchase
13,next time
13,my job
13,you don
13,the left
13,are all
13,have is
13,loved them
13,make sure
13,jeans the
13,see how
13,great they
13,for long
13,front pocket
13,am very
13,pair they
13,but this
13,duck carpenter
13,little more
13,just bit
13,for casual
13,and hold
13,bit too
13,are awesome
13,tight to
13,this time
13,not for
13,not like
13,casual wear
13,were not
13,fit they
13,much longer
13,re great
13,first wash
13,seems like
13,are more
13,strong and
13,are to
13,they all
13,then the
13,have no
13,room in
13,these before
13,these same
13,after several
13,work as
13,wanted to
13,were very
12,feels like
12,is they
12,the durability
12,ll have
12,wear 34
12,are work
12,for you
12,since they
12,size of
12,stiff at
12,the package
12,it fits
12,get your
12,is about
12,price of
12,the exact
12,like 32
12,you ll
12,and comfort
12,heavy and
12,and you
12,is no
12,after couple
12,dickies brand
12,the thighs
12,back and
12,are exactly
12,durable but
12,comfortable fit
12,as durable
12,and all
12,these he
12,find them
12,double knees
12,ordered more
12,sent them
12,and do
12,looks great
12,jeans were
